Item,Price
Tru-Fru Banana Peanut Butter,6.99
Tru-Fru Blueberry,6.99
Tru-Fru Cherry,6.99
Tru-Fru Raspberry,6.99
Bottled Soda,2.35
Body Armor,3.75
Powerade,3.5
Core Power,4.5
Vitamin Water,2.8
Milk,1.25
Minute Maid Juice,2.75
12oz Dasani,1.25
20oz Dasani,1.95
Smart Water,2.75
Local Apple Cider,4.5
Chobani Greek Yogurt Smoothie,3.25
Kombucha,4.5
Gold Peak Sweet Tea,2.75
Fair Life Milk,3.5
Whole Fruit,1
Regular Chips,1.25
White Cheddar Popcorn,1.5
Kettle Chips,2
Carolina Dirt BBQ Kettle Chips,3.25
Krema Snacks,8
Sweet & Spicy Jerky,9
Vintage Jerky,9.75
Otis Spunkmeyer Cookie,1.25
Muffin,1.8
C Krueger Gourmet Cookie,2.95
Chips Deluxe Cookie,1.65
Iced Loaf Cake,2.75
Dannon Yogurt,1.5
Whole Fruit,1
White Cheddar Cheez-It,2.5
Marshmallow Chewys,2.5
Guacamole Cup,3.75
Honey Mustard anf Onion Pretzel,3.25
Hot Cheese Roll with Pepperoni,3.5
Hummus Roasted Red Pepper,3.5
Hummus Cup Classic,3.5
Stuffed Combos,3.5
Small Fruit Cup,3.95
Waffles,10
Hummus Bento Box,6.5
Yogurt Parfait,4.5
Small Fruit Cup,3.95
Good Humor Strawberry Shortcake,10
Chocolate Chip Cookie Sandwich,3.5
Velvet Pints,5.5
Talenti Pints,9
Ham Sub,6
BYO Burrito,8
Soup,3.75
