Item,Price
Tub of Marsha's Buckeyes (50ct),24
Pineapple Cup,3.95
Pasta Bowl,7.95
BYO Bowl,7.95
Rice Bowl,7.95
Banana Pudding Parfait,3.5
Whole Fruit,1
Marshmallow Treat,2
KIND bar,2.75
Chocolate Chunk Brownie,2.95
Chocolate Chunk Cookie,1.25
Fruit Medley,3.95
Premium Kettle Chips,2
Basic Chips,1.25
Premium Chips,1.5
Chobani Flip,2.75
Grape & Berry Cup,3.95
Hummus Bento Box,6.5
Sliced Apple Cup,3.95
Bottled Soda,2.35
Peace Tea,2.5
Body Armor,3.75
Powerade,3.5
Core Power,4.5
Vitamin Water,2.8
Milk,1.25
Minute Maid Juice,2.75
Soy Milk,1.8
Almond Milk,2
Disani,1.95
Smart Water,2.75
Dunkin Donuts Iced Coffee,3.75
Chobani Greek Yogurt Smoothie,3.25
