Item,Price
Red Velvet Pancakes,7
American Classic,7.95
Crispy Chicken Tenders,6.25
Burger,7.95
Chicken And Waffles,9.95
Country Skillet,7.95
Avocado Toast,7.95
Brioche Breakfast Sandwich,6.95
Chorizo Bowl,8.95
Buffalo Chicken Sandwich,7.95
Traditional American Fries,3
Seasoned Potatoes,3
Side Salad,3
Two Vegetarian Breakfast Patties,3
Fresh Fruit Bowl,4.95
Pork Sausage Links,3
Four Smoked Bacon Strips,3
Ohio Chicken Sausage Patties,3
Applesauce,3
Fresh Brewed Iced tea,2.45
Hot Tea,2.45
Soy Milk,1.75
Minute Maid Juice,2.75
Milk,1.25
Hot Chocolate,3.05
Bottled Beverages,2.35
Skim Milk,1.5
Bottled Water,1.25
Milkshake,4.75
