Item,Price
Café Americano (12oz),2.85
Café Americano (16oz),3.25
Café Americano (20oz),3.55
"Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",3.95
"Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.55
"Buckeye Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Café Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",3.45
"Café Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.15
"Café Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.45
"Café Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",3.65
"Café Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.65
"Café Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.95
"Cappuccino (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",3.45
"Cappuccino (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.15
"Cappuccino (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.45
"Chai Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",3.75
"Chai Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.35
"Chai Latte (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.85
Espresso (Single),2.25
Espresso (Double),2.55
"Hot Chocolate (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",3.05
"Hot Chocolate (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",3.65
"Hot Chocolate (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",4.15
Hot Tea (12oz),2.45
Hot Tea (16oz),2.85
Hot Tea (20oz),3.15
"Steamer (2% Milk, Almond Milk, Skim Milk, Soy Milk), (12oz)",2.95
"Steamer (2% Milk, Almond Milk, Skim Milk, Soy Milk), (16oz)",3.35
"Steamer (2% Milk, Almond Milk, Skim Milk, Soy Milk), (20oz)",3.65
"TBC Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",4.35
"TBC Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.95
"TBC Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (20oz)",5.45
"White Chocolate Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (12oz)",4.35
"White Chocolate Mocha (2% Milk, Almond Milk, Oat Milk, Skim Milk, Soy Milk), (16oz)",4.95
