Item,Price
Pineapple Coconut Chia Pudding,6.5
Pesto Pasta Bowl,7.5
Green Goddess,8.5
Burrito Bowl,7.5
Thai Noodle Bowl,7.5
Kosher Egg Salad Wrap,8
Kosher Tuna Salad Wrap,8
Burger Box,8.95
Burger Box,5.95
Steak Quesadilla Box,8.95
BBQ Pork Quesadilla Box,8.95
Chicken Quesadilla Box,8.95
Cheese Quesadilla Box,7.95
BBQ Pork Quesadilla,7
Steak Quesadilla,7
Chicken Quesadilla,6.5
Cheese Quesadilla,5.5
Halal Chicken Sandwich,5.25
Halal Hamburger,4.95
French Fries,2.5
Power Green Salad,6.95
Asian Salmon Salad,9.95
Banana Pudding Parfair,3.5
Spicy Tofu Salad,4.75
Dairy-Free Yogurt Parfait,4.95
Asaigo Chicken Sub,7.25
Black Forest Wrap,6.25
Buffalo Chicken Bites,6.25
Tomato Mozzarella Bites,6.25
Ham and Swiss Sandwich,6
Regular Chips,1.25
Premium Chips,1.5
Grapes and Cheese,3.95
Chocolate Chip Cookies,8
Oikos Triple Zero Greek Yogurt,2.5
RX Bar,3
Cookie,1.25
Cashews,2.95
KIND Bar,2.75
Dannon Light & Fit,1.5
Chocabi Flip,2.75
Trail Mix,1.95
Marshmallow Treat,2.5
Nature Valley Bar,1.25
Italian Sub,7
Side Salad,3.25
"Hummus, Crackers & veggies",6.5
Veggie Cup,3.5
Grape and Berry Cup,3.95
Fruit Cup,3.95
Whole Fruit,1
Chicken and Kale Salad,7.5
Loaf Cake,2.75
Peanut Butter and Jelly Sandwich,4.5
Asparagus & Hummus Wrap,6.75
Sliced Apple Cup,3.95
Hartzler Milk,3.95
Apple Cider,4.5
Minute Maid,2.75
Vitamin Water,2.95
Body Armor SuperDrink,3.75
Pearl Soy Milk,1.75
Gold Peak Tea,2.75
Monster,3.75
Milk,1.25
Almond Milk,2
Chobani Yogurt Drink,3
Bottled Soda,2.35
1L Smart Water,3.5
20oz Dasani Water,1.95
20oz Smart Water,2.5
Core Power,4.5
Kombucha,4.5
Tru-Fru Banana Peanut Butter,6.99
Tru-Fru Blueberry,6.99
Tru-Fru Cherry,6.99
Tru-Fru Raspberry,6.99
Iced Double Chocolate Cookie,2.95
Snickerdoodle Cookie,2.95
Peanut Butter Cookie,2.95
Soup,3.75
Baked Potato,4.5
