Item,Price
Crunchy Spicy Salmon Roll,10
Mix Nigiri Sushi A,10
Salmoncado,8.25
Rainbow Roll,11.25
Fusion Special,11.25
Snack Sushi B,6.5
Crunchy California Roll,8
Spicy California Roll,8.25
California Roll,7.75
Tempura Shrimp Roll,9.25
Spicy Tuna Roll,8.75
Spicy Salmon Roll,8.25
Spicy Shrimp Roll,8
Crab Stick Philly Roll,8
Smoked Salmon Philly Roll,8
Salmon Philly Roll,8.75
Hawaiian Tuna Roll,10
Spicy Tempura Shrimp Roll,9.75
Mix Nigiri Sushi B,10
Mix Nigiri Sushi C,10
Mix Nigiri Sushi D,10
Vegetable Roll,6.5
The Summit,8.75
The Three C's,11
Teriyaki Chicken Bowl,9
Volvano Roll,10.5
Green Dragon Roll,9
Flying Tiger Roll,10
Firecracker Roll,11.25
Tiger Roll,10.75
Samurai Roll,9.5
Dynamite Tuuna Roll,10.25
Dynamite Salmon Roll,9.75
Sriracha Salmon Roll,8.5
Sriracha Tuna Roll,9.5
Spicy Inari,7
Snack Sushi A,6.5
Tuna Fantasy Roll,9.25
Salmon Fantasy Roll,8.75
Mango Tango Roll,9.5
Buckeye Roll,10
Sunset Roll,8.5
Spicy Tuna Bowl,10.5
Spicy Salmon Bowl,9.25
Tunacado,8.75
Pineapple Coconut Chia Pudding,6.5
Pesto Pasta Bowl,7.5
Green Goddess,8.5
Burrito Bowl,7.5
Thai Noodle Bowl,7.5
Chocolate Chia Pudding,6.5
Vegetable Spring Roll,6.5
Fantasy Salmon Spring Roll,8
Spring Roll,7.5
Fantasy Tuna Sprin Roll,8.5
Fantasy Shrimp Spring Roll,8
Teriyaki Chicken Spring Roll,7.75
BYO Rice Bowl,8
Chicken Teriyaki Rice Bowl,10
Chicken Katsu Rice Bowl,10
Vegetarian Rice Bowl,8.25
Spicy Pork Bulgogi Rice Bowl,11
Beef Bulgogi Rice Bowl,11
Spicy Chicken Bulgogi Rice Bowl,10.5
Seaweed Salad,5.5
Pork & Chicken Potsticker,4.75
Power Green Salad,6.95
Asian Salmon Salad,9.95
Banana Pudding Parfair,3.5
Spicy Tofu Salad,4.75
Dairy-Free Yogurt Parfait,4.95
Asaigo Chicken Sub,7.25
Black Forest Wrap,6.25
Buffalo Chicken Bites,6.25
Tomato Mozzarella Bites,6.25
Ham and Swiss Sandwich,6
Regular Chips,1.25
Premium Chips,1.5
Grapes and Cheese,3.95
Chocolate Chip Cookies,8
Oikos Triple Zero Greek Yogurt,2.5
RX Bar,3
Cookie,1.25
Cashews,2.95
KIND Bar,2.75
Dannon Light & Fit,1.5
Chocabi Flip,2.75
Trail Mix,1.95
Marshmallow Treat,2.5
Nature Valley Bar,1.25
Italian Sub,7
Side Salad,3.25
"Hummus, Crackers & veggies",6.5
Veggie Cup,3.5
Grape and Berry Cup,3.95
Fruit Cup,3.95
Whole Fruit,1
Chicken and Kale Salad,7.5
Loaf Cake,2.75
Peanut Butter and Jelly Sandwich,4.5
Asparagus & Hummus Wrap,6.75
Sliced Apple Cup,3.95
Hartzler Milk,3.95
Apple Cider,4.5
Minute Maid,2.75
Vitamin Water,2.95
Body Armor SuperDrink,3.75
Pearl Soy Milk,1.75
Gold Peak Tea,2.75
Monster,3.75
Milk,1.25
Almond Milk,2
Chobani Yogurt Drink,3
Bottled Soda,2.35
1L Smart Water,3.5
20oz Dasani Water,1.95
20oz Smart Water,2.5
Core Power,4.5
Kombucha,4.5
Tru-Fru Banana Peanut Butter,6.99
Tru-Fru Blueberry,6.99
Tru-Fru Cherry,6.99
Tru-Fru Raspberry,6.99
Iced Double Chocolate Cookie,2.95
Snickerdoodle Cookie,2.95
Peanut Butter Cookie,2.95
Soup,3.75
Baked Potato,4.5
