Item,Price
Spicy Cheese Curds,6.95
Sidewinder Potatoes,2.25
Bosco Sticks,7
Buffalo Chicken Crunch Roll,6.95
Mac & Cheese Bites,5
Breaded Mozzarella Sticks,4.95
Pretzel Bites and Beer Cheese,7
Flaming Cheetos Pizza,7.5
Vegetarian Wings,5
Gluten-Free Wings,5
Boneless Wings,5
Personal Pizza,7.5
Gluten-Free Pizza,7.5
Pepperoni Calzone,7.5
Cheese Calzone,7.5
Milk,1.25
Vitamin Water,2.95
Minute Maid Juice,2.75
Monster,3.75
Gold Peak,2.75
Almond Milk,2
Bottled Soda,2.35
12oz Dasani Water,1.25
20oz Dasani Water,1.95
Smart Water,3.5
Body Armor,3.75
Core Power,4.5
Whole Fruit,1
Sea Salt Turtle Pecan Popcorn,8
Classic Caramel Popcorn,8
Chicago Blend Popcorn,8
Iced Double Chocolate Cookie,2.95
Peanut Butter Cookie,2.95
